status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,polarity_comments
440106476051475_1252607684801346,"Black Lives Matter Thugs Do The UNTHINKABLE To Girl… Watch This Crap!?  What kind of scum beats a woman! 

KEEP SHARING THIS VIDEO! Expose these criminal racist Thugs!",Black Lives Matter Thugs Do The UNTHINKABLE To Girl… Watch What,link,http://freedomdaily.com/black-lives-matter-thugs-unthinkable-girl/,9/26/2016 15:40,2177,465,2368,915,9,55,3,44,1151,0,0.17
440106476051475_1251687554893359,"BlackLivesMatter Thugs Caught In Charlotte BRUTALLY Attacking Young White Girl Wearing A Dress (VIDEO)

Keep sharing these! Show everyone that BLM is a racist terrorist organization!",BlackLivesMatter Thugs Caught in Charlotte BRUTALLY Attacking Young,link,http://freedomdaily.com/blacklivesmatter-thugs-caught-in-charlotte-brutally-attacking-young-white-girl-wearing-a-dress-video/,9/25/2016 17:45,3327,580,3167,1418,9,47,4,140,1709,0,-0.14
